dt,acc_x,acc_y,gyr_x,gyr_y,r_imu,p_imu,y_imu,r_cal,p_cal,y_cal,ax_n_imu,ay_n_imu,ax_n_cal,ay_n_cal,ax_n_cal_kalman,dax_n_cal_kalman,dax_n_imu,dax_n_cal
0.016,-0.188973,-0.356405,0,-0,2.1,-1.11,0,1.9614,-1.0361,0,0.000214949,-0.00058049,0.0127829,0.0229865,0.033651,0.00263524,0,0.00111134
0.015,-0.188973,-0.357384,0.01,-0,2.1,-1.11,0,1.97211,-1.04174,0,0.000214249,0.00039798,0.011823,0.0221432,0.0311287,0.00252226,7.00355e-07,0.000959933
0.015,-0.188973,-0.358363,0.01,-0,2.1,-1.11,0,1.98245,-1.04696,0,0.000213549,0.00137645,0.010935,0.0213632,0.0287179,0.00241084,7.00355e-07,0.00088802
0.016,-0.188973,-0.359342,0,-0,2.1,-1.11,0,1.99296,-1.05211,0,0.000212863,0.00235495,0.0100589,0.0205555,0.0264122,0.00230573,6.85453e-07,0.000876099
0.015,-0.188973,-0.360321,0,-0,2.1,-1.11,0,2.00247,-1.05655,0,0.000231102,0.00336927,0.00931981,0.0199514,0.0242158,0.00219636,1.8239e-05,0.000739083
0.015,-0.188973,-0.360321,0,-0,2.1,-1.11,0,2.01126,-1.06067,0,0.000231102,0.00336927,0.00862017,0.018456,0.0221248,0.00209097,0,0.000699639
0.015,-0.188973,-0.360321,-0.01,-0,2.1,-1.11,0,2.01925,-1.06447,0,0.000231102,0.00336927,0.00797294,0.0170982,0.0201366,0.00198825,0,0.000647232
0.015,-0.188973,-0.360321,-0.01,-0,2.1,-1.11,0,2.02664,-1.06799,0,0.000231102,0.00336927,0.0073743,0.0158424,0.0182482,0.00188838,0,0.000598639
0.015,-0.188973,-0.359342,-0.01,-0,2.1,-1.11,0,2.03304,-1.07125,0,0.000231802,0.0023908,0.00682116,0.0137756,0.0164567,0.00179145,7.00355e-07,0.000553146
0.015,-0.188973,-0.358363,-0.01,-0,2.1,-1.11,0,2.03851,-1.07426,0,0.000213549,0.00137645,0.00629261,0.0118317,0.0147577,0.00169901,1.82539e-05,0.000528544
0.015,-0.188973,-0.357384,-0.01,-0,2.1,-1.11,0,2.04314,-1.07703,0,0.000214249,0.00039798,0.00582059,0.0100656,0.0131496,0.00160817,7.00355e-07,0.000472024
0.015,-0.188973,-0.356405,-0.01,0.01,2.1,-1.11,0,2.04699,-1.07946,0,0.000214949,-0.00058049,0.00540946,0.00843212,0.011631,0.00151853,7.00355e-07,0.000411123
0.016,-0.188973,-0.356405,-0.01,0.01,2.1,-1.11,0,2.0508,-1.08184,0,0.000214949,-0.00058049,0.00500317,0.00778577,0.0101964,0.00143459,0,0.000406295
0.015,-0.188973,-0.356405,-0.01,0.01,2.1,-1.11,0,2.05407,-1.08391,0,0.000214949,-0.00058049,0.00465278,0.00722837,0.00884459,0.00135184,0,0.000350386
0.016,-0.188973,-0.356405,0,0.01,2.1,-1.11,0,2.05747,-1.08594,0,0.000214949,-0.00058049,0.00430702,0.00665113,0.00757018,0.00127441,0,0.000345767
0.015,-0.188973,-0.357384,0,0.01,2.1,-1.11,0,2.06083,-1.08769,0,0.000214249,0.00039798,0.00400914,0.00705796,0.00637175,0.00119844,7.00355e-07,0.000297874
0.016,-0.188973,-0.358363,0,-0,2.1,-1.11,0,2.06463,-1.08958,0,0.000232488,0.0014123,0.00370511,0.00742632,0.00524352,0.00112823,1.8239e-05,0.000304028
0.015,-0.188973,-0.358363,0,-0,2.1,-1.11,0,2.06788,-1.0912,0,0.000213549,0.00137645,0.00341029,0.00683728,0.00418134,0.00106218,1.89394e-05,0.000294819
0.016,-0.188973,-0.358363,0,-0,2.1,-1.11,0,2.07111,-1.09281,0,0.000232488,0.0014123,0.00315487,0.00632328,0.00318378,0.000997557,1.89394e-05,0.000255421
0.015,-0.188973,-0.358363,0,-0,2.1,-1.11,0,2.0739,-1.0942,0,0.000232488,0.0014123,0.00291848,0.00584948,0.00224784,0.000935941,0,0.000236392
0.016,-0.188973,-0.358363,0,-0,2.1,-1.11,0,2.07665,-1.09558,0,0.000232488,0.0014123,0.00268525,0.00538203,0.00136942,0.000878422,0,0.000233233
0.015,-0.188973,-0.357384,0,-0,2.1,-1.11,0,2.07859,-1.09676,0,0.000233188,0.000433832,0.00248471,0.00407377,0.000547079,0.000822338,7.00355e-07,0.00020054
